adverb,label_name,predicted_name,text
probably,Attitudinal,Epistemic,is undesirable. The popular appeal of proportions and percentages is **PROBABLY** <<LEXICON:EPISTEMIC>> precisely because people understand that they cannot go below
Perhaps,Epistemic,Attitudinal,"agreements such as acceptable behaviour contacts and anti-social behaviour orders. **PERHAPS** <<LEXICON:EPISTEMIC>> more importantly in the context of this article, neighbourhood policing"
Probably,Epistemic,Non-stance,"thought you had then? Are all the arguments written down? **PROBABLY** <<LEXICON:EPISTEMIC>> not, but that does not invalidate the work. How often"
definitely,Epistemic,Attitudinal,"St James 'Park since 2005, but the defending champions are **DEFINITELY** <<LEXICON:EPISTEMIC>> vulnerable at the moment, and the hosts can be backed"
clearly,Epistemic,Non-stance,distance for the four models at Re = 216. It is **CLEARLY** <<LEXICON:EPISTEMIC>> shown that Nu predicted by Model 1 (2D model) and
Definitely,Attitudinal,Epistemic,"a country mile the worst game we have ever encountered. **DEFINITELY** <<LEXICON:EPISTEMIC>> not worth more than 5 or 6 quid, if you"
maybe,Epistemic,Attitudinal,"feel like shit I know I am dreading it ... but **MAYBE** <<LEXICON:NONSTANCE>> busy will be better, tho am expecting to feel completely"
clearly,Epistemic,Non-stance,"as 'the author's intention is clearly' to 'the text **CLEARLY** <<LEXICON:EPISTEMIC>> says', and then to 'the reader clearly infers'. But behind"
probably,Epistemic,Attitudinal,"deal. I think next season will tell, Strach's will **PROBABLY** <<LEXICON:EPISTEMIC>> too old by then and Macca and Speed will be"
perhaps,Attitudinal,Epistemic,"to the soil, retaining certain symbols of unfreedom. 'Retaining' is **PERHAPS** <<LEXICON:EPISTEMIC>> a misleading word. Marc Bloch showed that on two estates"
actually,Epistemic,Non-stance,"body, the human mind will regard the same body as **ACTUALLY** <<LEXICON:EPISTEMIC>> existing or present to it ...' (EIIp17). To have an idea"
perhaps,Epistemic,Attitudinal,was not fully acknowledged in physical geography and this is **PERHAPS** <<LEXICON:EPISTEMIC>> particularly startling given the appearance of books on soil erosion (
Maybe.,Epistemic,Non-stance,"debt for the experience and extra curricular skills and activities? **MAYBE.** <<LEXICON:NONSTANCE>> I'm not too sure. I'm not leaving university,"
